descriptor,algorithm,dataset,rmse_mine,rmse_off,cliff_mine,cliff_off,n_train,n_test,n_cliff
ECFP,RF,CHEMBL236_Ki,0.7118,0.7108,0.7904,0.7921,2077,521,204
ECFP,GBM,CHEMBL236_Ki,0.6864,0.6962,0.7939,0.7935,2077,521,204
ECFP,KNN,CHEMBL236_Ki,0.744,0.7458,0.8637,0.865,2077,521,204
ECFP,SVM,CHEMBL237_EC50,0.72,0.72,0.7816,0.7816,762,193,91
ECFP,RF,CHEMBL237_EC50,0.7668,0.762,0.7974,0.7927,762,193,91
ECFP,GBM,CHEMBL237_EC50,0.7938,0.8026,0.8992,0.8803,762,193,91
ECFP,KNN,CHEMBL237_EC50,0.81,0.81,0.8758,0.8758,762,193,91
ECFP,SVM,CHEMBL237_Ki,0.6771,0.6771,0.735,0.735,2081,522,223
ECFP,RF,CHEMBL237_Ki,0.7296,0.7288,0.7994,0.7995,2081,522,223
ECFP,GBM,CHEMBL237_Ki,0.7112,0.7127,0.7704,0.7887,2081,522,223
ECFP,KNN,CHEMBL237_Ki,0.7396,0.7362,0.8525,0.8507,2081,522,223
ECFP,SVM,CHEMBL238_Ki,0.6101,0.6101,0.6808,0.6808,839,213,55
ECFP,RF,CHEMBL238_Ki,0.6218,0.6247,0.6516,0.6562,839,213,55
ECFP,GBM,CHEMBL238_Ki,0.6326,0.618,0.6649,0.6377,839,213,55
ECFP,KNN,CHEMBL238_Ki,0.6466,0.6466,0.7346,0.7346,839,213,55
ECFP,SVM,CHEMBL239_EC50,0.6776,0.6776,0.8191,0.8191,1374,347,141
ECFP,RF,CHEMBL239_EC50,0.6863,0.689,0.8222,0.8248,1374,347,141
ECFP,GBM,CHEMBL239_EC50,0.6768,0.6825,0.8036,0.8205,1374,347,141
ECFP,KNN,CHEMBL239_EC50,0.7136,0.7136,0.8646,0.8646,1374,347,141
ECFP,SVM,CHEMBL244_Ki,0.7152,0.7152,0.7966,0.7966,2476,621,296
ECFP,RF,CHEMBL244_Ki,0.7417,0.7407,0.8234,0.8231,2476,621,296
ECFP,GBM,CHEMBL244_Ki,0.7468,0.7361,0.823,0.8208,2476,621,296
ECFP,KNN,CHEMBL244_Ki,0.7708,0.7674,0.8797,0.8735,2476,621,296
ECFP,SVM,CHEMBL262_Ki,0.7236,0.7236,0.6556,0.6556,683,173,32
ECFP,RF,CHEMBL262_Ki,0.7133,0.7212,0.7573,0.7749,683,173,32
ECFP,GBM,CHEMBL262_Ki,0.7592,0.7498,0.6978,0.7274,683,173,32
ECFP,KNN,CHEMBL262_Ki,0.8337,0.8337,0.8994,0.8994,683,173,32
ECFP,SVM,CHEMBL264_Ki,0.615,0.615,0.6741,0.6741,2288,574,239
ECFP,RF,CHEMBL264_Ki,0.6585,0.6586,0.7411,0.7418,2288,574,239
ECFP,GBM,CHEMBL264_Ki,0.6501,0.6486,0.7257,0.7215,2288,574,239
ECFP,KNN,CHEMBL264_Ki,0.6767,0.6739,0.8103,0.8053,2288,574,239
ECFP,SVM,CHEMBL2835_Ki,0.4198,0.4198,0.7426,0.7427,489,126,13
ECFP,RF,CHEMBL2835_Ki,0.3828,0.3876,0.7899,0.8021,489,126,13
ECFP,GBM,CHEMBL2835_Ki,0.4113,0.4053,0.772,0.7893,489,126,13
ECFP,KNN,CHEMBL2835_Ki,0.4362,0.4362,0.8584,0.8584,489,126,13
ECFP,SVM,CHEMBL287_Ki,0.7142,0.7142,0.8115,0.8115,1061,267,103
ECFP,RF,CHEMBL287_Ki,0.7734,0.7758,0.9028,0.8911,1061,267,103
ECFP,GBM,CHEMBL287_Ki,0.7524,0.7591,0.8846,0.8473,1061,267,103
ECFP,KNN,CHEMBL287_Ki,0.81,0.81,0.9569,0.9569,1061,267,103
ECFP,SVM,CHEMBL2971_Ki,0.605,0.605,0.659,0.659,779,197,34
ECFP,RF,CHEMBL2971_Ki,0.6337,0.6297,0.6332,0.6428,779,197,34
ECFP,GBM,CHEMBL2971_Ki,0.6446,0.6157,0.736,0.6667,779,197,34
ECFP,KNN,CHEMBL2971_Ki,0.6634,0.6634,0.7824,0.7824,779,197,34
ECFP,SVM,CHEMBL3979_EC50,0.6295,0.6295,0.6737,0.6737,899,226,94
ECFP,RF,CHEMBL3979_EC50,0.6498,0.6497,0.7079,0.7078,899,226,94
ECFP,GBM,CHEMBL3979_EC50,0.644,0.6595,0.7065,0.7217,899,226,94
ECFP,KNN,CHEMBL3979_EC50,0.6836,0.6836,0.7389,0.7389,899,226,94
ECFP,SVM,CHEMBL4005_Ki,0.6462,0.6462,0.7415,0.7415,767,193,81
ECFP,RF,CHEMBL4005_Ki,0.6529,0.6475,0.7366,0.7321,767,193,81
ECFP,GBM,CHEMBL4005_Ki,0.6441,0.6468,0.7522,0.7482,767,193,81
ECFP,KNN,CHEMBL4005_Ki,0.6557,0.6557,0.754,0.754,767,193,81
ECFP,SVM,CHEMBL4203_Ki,0.8798,0.8798,1.0014,1.0014,582,149,13
ECFP,RF,CHEMBL4203_Ki,0.8883,0.8816,1.0573,1.0809,582,149,13
ECFP,GBM,CHEMBL4203_Ki,0.9044,0.9194,1.103,1.0753,582,149,13
ECFP,KNN,CHEMBL4203_Ki,0.9718,0.9718,1.074,1.074,582,149,13
ECFP,SVM,CHEMBL4616_EC50,0.6353,0.6353,0.6924,0.6924,543,139,73
ECFP,RF,CHEMBL4616_EC50,0.6996,0.6816,0.7885,0.7695,543,139,73
ECFP,GBM,CHEMBL4616_EC50,0.6779,0.6857,0.751,0.7675,543,139,73
ECFP,KNN,CHEMBL4616_EC50,0.7398,0.7398,0.8282,0.8282,543,139,73
ECFP,SVM,CHEMBL4792_Ki,0.6334,0.6334,0.6381,0.6381,1174,297,160
ECFP,RF,CHEMBL4792_Ki,0.7065,0.7086,0.7235,0.7211,1174,297,160
ECFP,GBM,CHEMBL4792_Ki,0.6596,0.6737,0.6902,0.6865,1174,297,160
ECFP,KNN,CHEMBL4792_Ki,0.6955,0.6955,0.7244,0.7244,1174,297,160
MACCS,SVM,CHEMBL1862_Ki,0.8905,0.8905,0.8592,0.8592,633,161,67
MACCS,RF,CHEMBL1862_Ki,0.8807,0.8739,0.8451,0.8439,633,161,67
