descriptor,algorithm,dataset,rmse_mine,rmse_off,cliff_mine,cliff_off,n_train,n_test,n_cliff
PHYSCHEM,GBM,CHEMBL233_Ki,1.0619,1.0502,1.0669,1.0373,2512,630,259
PHYSCHEM,KNN,CHEMBL233_Ki,1.0415,1.0372,1.0453,1.0296,2512,630,259
PHYSCHEM,SVM,CHEMBL234_Ki,0.9298,0.9436,0.8747,0.8892,2924,733,320
PHYSCHEM,RF,CHEMBL234_Ki,0.8959,0.8866,0.8604,0.8586,2924,733,320
PHYSCHEM,GBM,CHEMBL234_Ki,0.9001,0.8832,0.873,0.8464,2924,733,320
PHYSCHEM,KNN,CHEMBL234_Ki,0.9264,0.9109,0.8895,0.8977,2924,733,320
PHYSCHEM,SVM,CHEMBL235_EC50,0.8862,0.9126,0.9787,1.0058,1877,472,178
PHYSCHEM,RF,CHEMBL235_EC50,0.7938,0.7949,0.8904,0.8915,1877,472,178
PHYSCHEM,GBM,CHEMBL235_EC50,0.7994,0.821,0.9218,0.9114,1877,472,178
PHYSCHEM,KNN,CHEMBL235_EC50,0.8693,0.8736,0.935,0.9376,1877,472,178
PHYSCHEM,SVM,CHEMBL236_Ki,1.1262,1.1155,1.2373,1.2229,2077,521,204
PHYSCHEM,RF,CHEMBL236_Ki,0.9975,0.9893,0.9965,0.9983,2077,521,204
PHYSCHEM,GBM,CHEMBL236_Ki,1.0192,1.0141,1.0193,1.0165,2077,521,204
PHYSCHEM,KNN,CHEMBL236_Ki,1.0423,1.0324,1.0212,1.0278,2077,521,204
PHYSCHEM,SVM,CHEMBL237_EC50,1.061,1.0847,1.0612,1.0709,762,193,91
PHYSCHEM,RF,CHEMBL237_EC50,0.9777,0.966,0.9173,0.8935,762,193,91
PHYSCHEM,GBM,CHEMBL237_EC50,1.034,0.9992,0.9574,0.942,762,193,91
PHYSCHEM,KNN,CHEMBL237_EC50,1.0142,0.9983,0.934,0.9304,762,193,91
PHYSCHEM,SVM,CHEMBL237_Ki,1.0325,1.0199,1.0464,1.0438,2081,522,223
PHYSCHEM,RF,CHEMBL237_Ki,0.9591,0.9612,0.9788,0.9795,2081,522,223
PHYSCHEM,GBM,CHEMBL237_Ki,0.9573,0.9609,0.9809,0.9688,2081,522,223
PHYSCHEM,KNN,CHEMBL237_Ki,0.9706,0.9686,0.9652,0.9554,2081,522,223
PHYSCHEM,SVM,CHEMBL238_Ki,1.0166,1.0011,0.973,0.9546,839,213,55
PHYSCHEM,RF,CHEMBL238_Ki,0.9087,0.9034,0.8471,0.8508,839,213,55
PHYSCHEM,GBM,CHEMBL238_Ki,0.9262,0.9018,0.8614,0.8363,839,213,55
PHYSCHEM,KNN,CHEMBL238_Ki,0.9381,0.9394,0.8602,0.8525,839,213,55
PHYSCHEM,SVM,CHEMBL239_EC50,0.9618,0.9641,1.0569,1.0548,1374,347,141
PHYSCHEM,RF,CHEMBL239_EC50,0.8908,0.8839,1.0376,1.0317,1374,347,141
PHYSCHEM,GBM,CHEMBL239_EC50,0.8756,0.8745,1.0278,1.0227,1374,347,141
PHYSCHEM,KNN,CHEMBL239_EC50,0.8802,0.8738,1.0048,0.9912,1374,347,141
PHYSCHEM,SVM,CHEMBL244_Ki,1.1517,1.1602,1.0887,1.1158,2476,621,296
PHYSCHEM,RF,CHEMBL244_Ki,1.1364,1.1161,1.1281,1.119,2476,621,296
PHYSCHEM,GBM,CHEMBL244_Ki,1.1155,1.1047,1.1179,1.1251,2476,621,296
PHYSCHEM,KNN,CHEMBL244_Ki,1.1382,1.1384,1.1357,1.1425,2476,621,296
PHYSCHEM,SVM,CHEMBL262_Ki,0.9551,0.9489,0.9998,1.0021,683,173,32
PHYSCHEM,RF,CHEMBL262_Ki,0.8619,0.8634,0.846,0.8645,683,173,32
PHYSCHEM,GBM,CHEMBL262_Ki,0.8775,0.8746,0.9401,0.9121,683,173,32
PHYSCHEM,KNN,CHEMBL262_Ki,0.924,0.9064,0.9318,0.9357,683,173,32
PHYSCHEM,SVM,CHEMBL264_Ki,0.8962,0.9085,0.9038,0.9167,2288,574,239
PHYSCHEM,RF,CHEMBL264_Ki,0.848,0.8511,0.8778,0.8861,2288,574,239
PHYSCHEM,GBM,CHEMBL264_Ki,0.8815,0.8779,0.9283,0.9155,2288,574,239
PHYSCHEM,KNN,CHEMBL264_Ki,0.8791,0.8786,0.9167,0.9003,2288,574,239
PHYSCHEM,SVM,CHEMBL2835_Ki,0.4362,0.4135,0.6839,0.6398,489,126,13
PHYSCHEM,RF,CHEMBL2835_Ki,0.499,0.5017,0.8656,0.8914,489,126,13
PHYSCHEM,GBM,CHEMBL2835_Ki,0.5193,0.5389,0.9358,0.905,489,126,13
PHYSCHEM,KNN,CHEMBL2835_Ki,0.4921,0.4907,0.8493,0.8244,489,126,13
PHYSCHEM,SVM,CHEMBL287_Ki,0.8321,0.8179,0.8144,0.8092,1061,267,103
PHYSCHEM,RF,CHEMBL287_Ki,0.7868,0.7844,0.7973,0.7866,1061,267,103
PHYSCHEM,GBM,CHEMBL287_Ki,0.8123,0.8057,0.8147,0.8152,1061,267,103
PHYSCHEM,KNN,CHEMBL287_Ki,0.8402,0.849,0.832,0.8381,1061,267,103
PHYSCHEM,SVM,CHEMBL2971_Ki,0.9243,0.9504,0.8798,0.8548,779,197,34
PHYSCHEM,RF,CHEMBL2971_Ki,0.8235,0.8153,0.8171,0.7967,779,197,34
PHYSCHEM,GBM,CHEMBL2971_Ki,0.8572,0.8588,0.8078,0.8879,779,197,34
PHYSCHEM,KNN,CHEMBL2971_Ki,0.8041,0.7766,0.7381,0.7524,779,197,34
PHYSCHEM,SVM,CHEMBL3979_EC50,0.888,0.9186,0.8503,0.8843,899,226,94
PHYSCHEM,RF,CHEMBL3979_EC50,0.871,0.8731,0.8155,0.8188,899,226,94
PHYSCHEM,GBM,CHEMBL3979_EC50,0.8777,0.8673,0.8066,0.7997,899,226,94
PHYSCHEM,KNN,CHEMBL3979_EC50,0.9026,0.9549,0.8218,0.8427,899,226,94
PHYSCHEM,SVM,CHEMBL4005_Ki,0.8,0.7993,0.8615,0.8523,767,193,81
PHYSCHEM,RF,CHEMBL4005_Ki,0.7853,0.8,0.8984,0.9034,767,193,81
PHYSCHEM,GBM,CHEMBL4005_Ki,0.7746,0.7819,0.8533,0.8625,767,193,81
PHYSCHEM,KNN,CHEMBL4005_Ki,0.8023,0.8197,0.8651,0.841,767,193,81
PHYSCHEM,SVM,CHEMBL4203_Ki,1.0054,1.0052,1.2181,1.2213,582,149,13
PHYSCHEM,RF,CHEMBL4203_Ki,0.9829,1.0024,1.4505,1.4555,582,149,13
PHYSCHEM,GBM,CHEMBL4203_Ki,1.0172,1.0136,1.4865,1.5379,582,149,13
PHYSCHEM,KNN,CHEMBL4203_Ki,0.9793,0.9828,1.3322,1.3259,582,149,13
PHYSCHEM,SVM,CHEMBL4616_EC50,0.8392,0.8413,0.8269,0.8255,543,139,73
PHYSCHEM,RF,CHEMBL4616_EC50,0.8124,0.8165,0.8403,0.8403,543,139,73
PHYSCHEM,GBM,CHEMBL4616_EC50,0.8282,0.828,0.8483,0.8525,543,139,73
PHYSCHEM,KNN,CHEMBL4616_EC50,0.8543,0.8384,0.8813,0.8566,543,139,73
PHYSCHEM,SVM,CHEMBL4792_Ki,0.8713,0.8697,0.8725,0.8703,1174,297,160
PHYSCHEM,RF,CHEMBL4792_Ki,0.8497,0.844,0.8302,0.8257,1174,297,160
PHYSCHEM,GBM,CHEMBL4792_Ki,0.8654,0.8464,0.8355,0.8221,1174,297,160
PHYSCHEM,KNN,CHEMBL4792_Ki,0.8828,0.9096,0.862,0.8561,1174,297,160
WHIM,SVM,CHEMBL1862_Ki,0.895,1.028,0.9171,0.9655,633,161,67
WHIM,RF,CHEMBL1862_Ki,0.8383,0.8645,0.9024,0.8864,633,161,67
WHIM,GBM,CHEMBL1862_Ki,0.8599,0.8732,0.9157,0.8501,633,161,67
WHIM,KNN,CHEMBL1862_Ki,1.0042,0.9865,0.9194,0.8491,633,161,67
WHIM,SVM,CHEMBL1871_Ki,0.8418,0.8571,1.062,1.0881,525,134,32
WHIM,RF,CHEMBL1871_Ki,0.851,0.8817,1.0869,1.1043,525,134,32
WHIM,GBM,CHEMBL1871_Ki,0.8963,0.9027,1.2143,1.1041,525,134,32
WHIM,KNN,CHEMBL1871_Ki,0.8311,0.881,1.105,1.0691,525,134,32
WHIM,SVM,CHEMBL2034_Ki,0.8299,0.842,0.9703,0.9637,598,152,52
WHIM,RF,CHEMBL2034_Ki,0.7718,0.7819,0.8982,0.8769,598,152,52
WHIM,GBM,CHEMBL2034_Ki,0.7832,0.7699,0.8465,0.8551,598,152,52
WHIM,KNN,CHEMBL2034_Ki,0.8282,0.8047,0.9396,0.9293,598,152,52
WHIM,SVM,CHEMBL2047_EC50,0.881,0.8511,0.9093,0.8248,503,128,50
WHIM,RF,CHEMBL2047_EC50,0.8554,0.8331,0.8242,0.7674,503,128,50
WHIM,GBM,CHEMBL2047_EC50,0.8582,0.8528,0.8512,0.7324,503,128,50
WHIM,KNN,CHEMBL2047_EC50,0.8559,0.8407,0.8492,0.8327,503,128,50
WHIM,SVM,CHEMBL204_Ki,1.318,1.3113,1.4322,1.4359,2201,553,220
WHIM,RF,CHEMBL204_Ki,1.264,1.2578,1.3606,1.3597,2201,553,220
WHIM,GBM,CHEMBL204_Ki,1.2984,1.2664,1.3752,1.3814,2201,553,220
WHIM,KNN,CHEMBL204_Ki,1.3561,1.3652,1.4562,1.4822,2201,553,220
WHIM,SVM,CHEMBL2147_Ki,1.1103,1.1029,0.9751,1.0025,1162,294,116
WHIM,RF,CHEMBL2147_Ki,1.0619,1.0416,1.0336,0.9957,1162,294,116
WHIM,GBM,CHEMBL2147_Ki,1.0482,1.0032,0.9999,0.9607,1162,294,116
WHIM,KNN,CHEMBL2147_Ki,1.1892,1.1407,1.014,1.013,1162,294,116
WHIM,SVM,CHEMBL214_Ki,1.057,1.06,1.0908,1.0669,2651,666,245
WHIM,RF,CHEMBL214_Ki,1.0247,1.026,1.0973,1.0795,2651,666,245
WHIM,GBM,CHEMBL214_Ki,1.0376,1.0479,1.1151,1.089,2651,666,245
WHIM,KNN,CHEMBL214_Ki,1.059,1.0693,1.1171,1.112,2651,666,245
WHIM,SVM,CHEMBL218_EC50,0.9186,0.8907,0.9579,0.9255,823,208,76
WHIM,RF,CHEMBL218_EC50,0.9489,0.884,0.9321,0.8941,823,208,76
WHIM,GBM,CHEMBL218_EC50,0.9543,0.8906,0.9313,0.9158,823,208,76
WHIM,KNN,CHEMBL218_EC50,0.9345,0.9208,0.9348,0.9195,823,208,76
WHIM,SVM,CHEMBL219_Ki,1.0182,1.0407,1.0461,1.074,1491,374,148
WHIM,RF,CHEMBL219_Ki,0.9892,0.9895,1.0133,1.0222,1491,374,148
WHIM,GBM,CHEMBL219_Ki,1.0262,1.0327,1.0688,1.0755,1491,374,148
WHIM,KNN,CHEMBL219_Ki,1.0228,1.0611,1.0493,1.0863,1491,374,148
WHIM,SVM,CHEMBL228_Ki,1.0479,1.0948,1.0047,1.0355,1362,342,127
WHIM,RF,CHEMBL228_Ki,1.0514,1.0496,1.0141,1.0408,1362,342,127
WHIM,GBM,CHEMBL228_Ki,1.0661,1.0791,1.0527,1.0201,1362,342,127
WHIM,KNN,CHEMBL228_Ki,1.0816,1.0756,1.0824,1.0168,1362,342,127
WHIM,SVM,CHEMBL231_Ki,0.9681,0.9558,0.9015,0.9001,776,197,48
WHIM,RF,CHEMBL231_Ki,0.9911,0.9533,0.9274,0.9391,776,197,48
WHIM,GBM,CHEMBL231_Ki,0.9939,0.9591,0.93,0.9619,776,197,48
WHIM,KNN,CHEMBL231_Ki,1.0674,1.0074,0.986,0.9088,776,197,48
WHIM,SVM,CHEMBL233_Ki,1.1584,1.1497,1.1877,1.1909,2512,630,259
WHIM,RF,CHEMBL233_Ki,1.1733,1.1316,1.1888,1.148,2512,630,259
WHIM,GBM,CHEMBL233_Ki,1.1894,1.1469,1.2052,1.1585,2512,630,259
WHIM,KNN,CHEMBL233_Ki,1.1946,1.1947,1.2097,1.2158,2512,630,259
WHIM,SVM,CHEMBL234_Ki,1.0112,0.9871,0.9714,0.9221,2924,733,320
WHIM,RF,CHEMBL234_Ki,0.9773,0.9691,0.9201,0.9023,2924,733,320
WHIM,GBM,CHEMBL234_Ki,0.9868,0.9991,0.9266,0.9123,2924,733,320
WHIM,KNN,CHEMBL234_Ki,1.0351,1.0171,0.987,0.9445,2924,733,320
WHIM,SVM,CHEMBL235_EC50,1.0014,0.992,1.0761,1.0815,1877,472,178
WHIM,RF,CHEMBL235_EC50,1.0054,1.0037,1.105,1.1015,1877,472,178
WHIM,GBM,CHEMBL235_EC50,1.0086,1.0001,1.094,1.1008,1877,472,178
WHIM,KNN,CHEMBL235_EC50,0.9955,0.9782,1.0984,1.0792,1877,472,178
WHIM,SVM,CHEMBL236_Ki,1.1618,1.1393,1.1934,1.2,2077,521,204
WHIM,RF,CHEMBL236_Ki,1.1287,1.1178,1.2045,1.1631,2077,521,204
WHIM,GBM,CHEMBL236_Ki,1.1395,1.1319,1.2289,1.1788,2077,521,204
WHIM,KNN,CHEMBL236_Ki,1.1813,1.1499,1.2195,1.2141,2077,521,204
WHIM,SVM,CHEMBL237_EC50,1.2891,1.3074,1.2552,1.2991,762,193,91
WHIM,RF,CHEMBL237_EC50,1.2197,1.3018,1.2242,1.314,762,193,91
WHIM,GBM,CHEMBL237_EC50,1.2055,1.3569,1.2071,1.3497,762,193,91
WHIM,KNN,CHEMBL237_EC50,1.3693,1.319,1.3073,1.3189,762,193,91
WHIM,SVM,CHEMBL237_Ki,1.1663,1.175,1.2212,1.2217,2081,522,223
WHIM,RF,CHEMBL237_Ki,1.1169,1.1205,1.1561,1.14,2081,522,223
WHIM,GBM,CHEMBL237_Ki,1.1179,1.1247,1.1757,1.1285,2081,522,223
WHIM,KNN,CHEMBL237_Ki,1.1984,1.1743,1.2436,1.1873,2081,522,223
WHIM,SVM,CHEMBL238_Ki,1.0363,0.9733,1.0791,0.9897,839,213,55
WHIM,RF,CHEMBL238_Ki,1.033,0.9935,1.0222,0.9634,839,213,55
WHIM,GBM,CHEMBL238_Ki,1.0567,0.9907,1.041,0.9495,839,213,55
WHIM,KNN,CHEMBL238_Ki,1.0511,1.0473,1.0594,1.0123,839,213,55
WHIM,SVM,CHEMBL239_EC50,0.9906,1.0164,1.1091,1.1355,1374,347,141
WHIM,RF,CHEMBL239_EC50,0.9888,0.9979,1.0855,1.0783,1374,347,141
WHIM,GBM,CHEMBL239_EC50,1.021,1.0475,1.1338,1.1333,1374,347,141
WHIM,KNN,CHEMBL239_EC50,1.0293,1.0187,1.1115,1.1004,1374,347,141
WHIM,SVM,CHEMBL244_Ki,1.302,1.3053,1.2726,1.2769,2476,621,296
WHIM,RF,CHEMBL244_Ki,1.2337,1.249,1.2218,1.2071,2476,621,296
WHIM,GBM,CHEMBL244_Ki,1.246,1.2866,1.2087,1.2301,2476,621,296
WHIM,KNN,CHEMBL244_Ki,1.2934,1.2742,1.2566,1.2174,2476,621,296
WHIM,SVM,CHEMBL262_Ki,0.8961,0.8984,1.0306,0.9927,683,173,32
WHIM,RF,CHEMBL262_Ki,0.8705,0.9294,0.9145,1.0229,683,173,32
WHIM,GBM,CHEMBL262_Ki,0.8582,0.9356,0.9453,1.0257,683,173,32
WHIM,KNN,CHEMBL262_Ki,0.88,0.9133,0.9195,0.8676,683,173,32
WHIM,SVM,CHEMBL264_Ki,0.9741,0.9743,1.0208,1.0097,2288,574,239
WHIM,RF,CHEMBL264_Ki,0.9286,0.9363,0.9675,0.9698,2288,574,239
WHIM,GBM,CHEMBL264_Ki,0.9271,0.97,0.9781,1.0206,2288,574,239
WHIM,KNN,CHEMBL264_Ki,0.9649,0.9742,1.0119,1.0089,2288,574,239
WHIM,SVM,CHEMBL2835_Ki,0.5046,0.5116,0.8372,0.8028,489,126,13
WHIM,RF,CHEMBL2835_Ki,0.454,0.4783,0.7206,0.7437,489,126,13
WHIM,GBM,CHEMBL2835_Ki,0.4826,0.503,0.7546,0.7909,489,126,13
WHIM,KNN,CHEMBL2835_Ki,0.4999,0.5335,0.876,0.9013,489,126,13
WHIM,SVM,CHEMBL287_Ki,0.9487,0.9465,1.0296,1.0426,1061,267,103
WHIM,RF,CHEMBL287_Ki,0.9132,0.9168,1.0039,1.0236,1061,267,103
WHIM,GBM,CHEMBL287_Ki,0.9259,0.9407,1.0176,1.0316,1061,267,103
WHIM,KNN,CHEMBL287_Ki,0.9755,0.9741,1.0852,1.0728,1061,267,103
WHIM,SVM,CHEMBL2971_Ki,0.8648,0.8666,1.0651,0.9746,779,197,34
WHIM,RF,CHEMBL2971_Ki,0.8105,0.7499,0.8748,0.8256,779,197,34
WHIM,GBM,CHEMBL2971_Ki,0.8756,0.7812,0.8967,0.8209,779,197,34
WHIM,KNN,CHEMBL2971_Ki,0.8891,0.8099,0.8417,0.8314,779,197,34
WHIM,SVM,CHEMBL3979_EC50,1.0328,1.0445,1.017,1.0198,899,226,94
WHIM,RF,CHEMBL3979_EC50,0.9948,0.9965,0.9075,0.9384,899,226,94
WHIM,GBM,CHEMBL3979_EC50,0.9767,1.0372,0.9331,0.9752,899,226,94
WHIM,KNN,CHEMBL3979_EC50,1.0318,1.0187,0.9344,0.9775,899,226,94
WHIM,SVM,CHEMBL4005_Ki,0.8972,0.9007,0.9309,0.9405,767,193,81
WHIM,RF,CHEMBL4005_Ki,0.903,0.8845,0.9044,0.9045,767,193,81
WHIM,GBM,CHEMBL4005_Ki,0.9254,0.8817,0.9268,0.94,767,193,81
WHIM,KNN,CHEMBL4005_Ki,0.8939,0.9285,0.9175,0.9975,767,193,81
WHIM,SVM,CHEMBL4203_Ki,1.0339,1.0251,1.1683,1.1688,582,149,13
WHIM,RF,CHEMBL4203_Ki,0.9971,0.9974,1.1197,1.1101,582,149,13
WHIM,GBM,CHEMBL4203_Ki,1.0263,1.034,1.2459,1.2519,582,149,13
WHIM,KNN,CHEMBL4203_Ki,1.0706,1.0704,1.2879,1.3052,582,149,13
WHIM,SVM,CHEMBL4616_EC50,0.9099,0.91,0.9295,0.9003,543,139,73
WHIM,RF,CHEMBL4616_EC50,0.8782,0.9122,0.9074,0.8879,543,139,73
WHIM,GBM,CHEMBL4616_EC50,0.9022,0.9515,0.9589,0.9042,543,139,73
WHIM,KNN,CHEMBL4616_EC50,0.8793,0.8847,0.8961,0.8458,543,139,73
WHIM,SVM,CHEMBL4792_Ki,1.0678,1.091,1.0721,1.0968,1174,297,160
WHIM,RF,CHEMBL4792_Ki,1.0381,1.0399,1.0228,1.0222,1174,297,160
WHIM,GBM,CHEMBL4792_Ki,1.0303,1.0398,1.0089,1.0337,1174,297,160
WHIM,KNN,CHEMBL4792_Ki,1.0155,1.0522,1.0048,1.0205,1174,297,160
