algorithm,dataset,rmse_mine,rmse_off,d_rmse,cliff_mine,cliff_off,d_cliff,n_train,n_test,n_cliff
RF,CHEMBL264_Ki,0.658232,0.658635,-0.000403,0.739823,0.741809,-0.001986,2288,574,239
RF,CHEMBL2835_Ki,0.396583,0.387564,0.009019,0.799588,0.802062,-0.002474,489,126,13
RF,CHEMBL287_Ki,0.770688,0.775771,-0.005083,0.887114,0.891089,-0.003975,1061,267,103
RF,CHEMBL2971_Ki,0.629589,0.629730,-0.000141,0.629442,0.642780,-0.013338,779,197,34
RF,CHEMBL3979_EC50,0.647396,0.649685,-0.002289,0.707318,0.707812,-0.000493,899,226,94
RF,CHEMBL4005_Ki,0.647409,0.647536,-0.000127,0.733398,0.732089,0.001309,767,193,81
RF,CHEMBL4203_Ki,0.887648,0.881607,0.006041,1.040733,1.080902,-0.040169,582,149,13
RF,CHEMBL4616_EC50,0.696947,0.681604,0.015343,0.781579,0.769546,0.012033,543,139,73
RF,CHEMBL4792_Ki,0.708666,0.708629,0.000037,0.723183,0.721142,0.002040,1174,297,160
GBM,CHEMBL1862_Ki,0.775095,0.797739,-0.022644,0.751909,0.746507,0.005402,633,161,67
GBM,CHEMBL1871_Ki,0.685051,0.677543,0.007508,0.930087,0.922070,0.008017,525,134,32
GBM,CHEMBL2034_Ki,0.750003,0.767404,-0.017401,0.870279,0.863676,0.006602,598,152,52
GBM,CHEMBL2047_EC50,0.613582,0.601985,0.011597,0.682607,0.639585,0.043022,503,128,50
GBM,CHEMBL204_Ki,0.785678,0.753306,0.032372,0.943894,0.932048,0.011847,2201,553,220
GBM,CHEMBL2147_Ki,0.620811,0.581057,0.039754,0.627288,0.616097,0.011190,1162,294,116
GBM,CHEMBL214_Ki,0.678089,0.677537,0.000551,0.762387,0.761068,0.001318,2651,666,245
GBM,CHEMBL218_EC50,0.695102,0.711624,-0.016523,0.726157,0.746363,-0.020206,823,208,76
GBM,CHEMBL219_Ki,0.720997,0.711702,0.009295,0.785039,0.764625,0.020414,1491,374,148
GBM,CHEMBL228_Ki,0.686957,0.686235,0.000722,0.716379,0.723385,-0.007006,1362,342,127
GBM,CHEMBL231_Ki,0.752335,0.773664,-0.021329,0.905011,0.954803,-0.049792,776,197,48
GBM,CHEMBL233_Ki,0.816926,0.801719,0.015207,0.906328,0.885654,0.020674,2512,630,259
GBM,CHEMBL234_Ki,0.647177,0.629303,0.017874,0.654525,0.648626,0.005899,2924,733,320
GBM,CHEMBL235_EC50,0.656828,0.663120,-0.006292,0.769204,0.806253,-0.037049,1877,472,178
GBM,CHEMBL236_Ki,0.686293,0.696215,-0.009922,0.788711,0.793540,-0.004829,2077,521,204
GBM,CHEMBL237_EC50,0.819035,0.802608,0.016427,0.901004,0.880299,0.020705,762,193,91
